Line No,GOE Rev history,CA INPUT,Project Tag Status,File Source,Line No.1,Service / Description,Tag. Reg.,Project,GOE project CODE,Comment,PID DrawingNo,PID DrawingNo.1,PIDDrawingNo,Isometric Drawing No,Other Drawing No,GOE doc number-Naval-ing_comment,GOE doc number,GOE doc number no.3-4,Datasheet,Certificate DOC. No,Discipline,ISO ownership,System,Status,To Line No,From Line No,Package No,External coating,Internal coating,Material type,"Line """,Service Code,Insulation,Pipe Class,"Oper. Pressure 
(BARG)","Design Pressure 
(BARG)","Test Pressure 
(BARG)","Oper. 
Temperature 
(Deg C)","Design 
Temperature 
(Deg C)","Standard Velocity 
(m/s)","Calculated Velocity 
(m/s)",Replaced Line No,"Foreign 
Line No",PED / NR13,Modified By,Modified Date,AREA,PED Category,DCN NumBer,ComBined Thermal and Acoustic Insulation,Flushing and Drying,Chemical Cleaning,Internal Pickling and Passivation,Hot Oil Flushing,External Pickling and Passivation,Fluid state,Fluids,PED Fluid Group,PED Module(s),Equipment Type (as per 4119),Flange Management Criticality,DNV/ABS Piping Class,NDT,Unnamed: 64,Naval_comment,ISO booklet number,Remarks,Naviswork support tags_Marin,Fab drg booklet number and pages_Marin,OSE response 09/02/2026,TPR_comment,TPR_pid_no
"55-3/4""-SC-I1-1060-HC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Format mismatch: P&ID has 6 parts, Master has 5, Part 1 [P&ID: '53' vs Master: '55.3/4""'], Part 2 [P&ID: '2""' vs Master: 'SC'], Part 3 [P&ID: 'WFR' vs Master: 'I1'], Part 4 [P&ID: 'G2' vs Master: '1060'], Part 5 [P&ID: '1060' vs Master: 'HC']",
"55-3/4""-SC-I1-1072-HC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '71' vs Master: '55.3/4""'], Part 2 [P&ID: '2.1/2""' vs Master: 'SC'], Part 3 [P&ID: 'OH' vs Master: 'I1'], Part 4 [P&ID: 'K2' vs Master: '1072'], Part 5 [P&ID: '1072' vs Master: 'HC']",
"55-3/4""-SC-I1-1081-HC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmatched - Not found in latest P&ID,
"55-1""-WFE-G2-1125-HC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmatched - Not found in latest P&ID,
"55-1""-WFE-G2-1130-HC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmatched - Not found in latest P&ID,
"55-2""-WFE-G2-1065-HC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 1 [P&ID: '53' vs Master: '55'], Part 3 [P&ID: 'WFR' vs Master: 'WFE'], Part 6 [P&ID: 'HT' vs Master: 'HC']",
"55-1.1/2""-WFE-G2-7102-PP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 2 [P&ID: '4""' vs Master: '1.1/2""']",
"55-1.1/2""-WFE-G2-7201-HC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matched,
"55-1.1/2""-WFE-G2-7528-PP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 2 [P&ID: '1""' vs Master: '1.1/2""']",
"55-2""-WFE-G2-7200-HC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partial match - Differences: Part 2 [P&ID: '5""' vs Master: '2""']",
